央视,#genre#
CGTN纪录,http://[2409:8087:74d9:21::6]/270000001128/9900000062/index.m3u8
CGTN纪录,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000062/1.m3u8
CGTN西语,http://[2409:8087:74d9:21::6]/270000001128/9900000088/index.m3u8
CGTN西语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000088/1.m3u8
CGTN英语,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002182/index.m3u8
CGTN英语,http://[2409:8087:74d9:21::6]/270000001128/9900000063/index.m3u8
CGTN英语,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002182/1.m3u8
CGTN英语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000063/1.m3u8
精选热播,#genre#
NewTV爱情喜剧,http://[2409:8087:74d9:21::6]/270000001128/9900000104/index.m3u8
NewTV爱情喜剧,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000104/1.m3u8
NewTV超级电视剧,http://[2409:8087:74d9:21::6]/270000001128/9900000022/index.m3u8
NewTV超级电视剧,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000022/1.m3u8
NewTV超级电影,http://[2409:8087:74d9:21::6]/270000001128/9900000021/index.m3u8
NewTV超级电影,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000021/1.m3u8
NewTV超级体育,http://[2409:8087:74d9:21::6]/270000001128/9900000020/index.m3u8
NewTV超级体育,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000020/1.m3u8
NewTV超级综艺,http://[2409:8087:74d9:21::6]/270000001128/9900000019/index.m3u8
NewTV超级综艺,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000019/1.m3u8
NewTV潮妈辣婆,http://[2409:8087:74d9:21::6]/270000001128/9900000099/index.m3u8
NewTV潮妈辣婆,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000099/1.m3u8
NewTV东北热剧,http://[2409:8087:74d9:21::6]/270000001128/9900000092/index.m3u8
NewTV东北热剧,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000092/1.m3u8
NewTV动作电影,http://[2409:8087:74d9:21::6]/270000001128/9900000106/index.m3u8
NewTV动作电影,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000106/1.m3u8
NewTV古装剧场,http://[2409:8087:74d9:21::6]/270000001128/9900000105/index.m3u8
NewTV古装剧场,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000105/1.m3u8
NewTV海外剧场,http://[2409:8087:74d9:21::6]/270000001128/9900000115/index.m3u8
NewTV海外剧场,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000115/1.m3u8
NewTV欢乐剧场,http://[2409:8087:74d9:21::6]/270000001128/9900000091/index.m3u8
NewTV欢乐剧场,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000091/1.m3u8
NewTV家庭剧场,http://[2409:8087:74d9:21::6]/270000001128/9900000108/index.m3u8
NewTV家庭剧场,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000108/1.m3u8
NewTV金牌综艺,http://[2409:8087:74d9:21::6]/270000001128/9900000112/index.m3u8
NewTV金牌综艺,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000112/1.m3u8
NewTV惊悚悬疑,http://[2409:8087:74d9:21::6]/270000001128/9900000113/index.m3u8
NewTV惊悚悬疑,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000113/1.m3u8
NewTV精品大剧,http://[2409:8087:74d9:21::6]/270000001128/9900000100/index.m3u8
NewTV精品大剧,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000100/1.m3u8
NewTV精品纪录,http://[2409:8087:74d9:21::6]/270000001128/9900000109/index.m3u8
